Naptan No,Stop Location,Stop Name,Shelter Pole or Lamp Post ,Seat,Raised Kerb
0100BRA10535,Speedwell,Duncombe Lane,Pole,No,No
0100BRZ01676,Windmill Hill,Dunford Road,,,
0100BRZ01677,Windmill Hill,Dunford Road,,,
0100BRZ01670,Windmill Hill,Dunkerry Road,,,
0100BRZ01671,Windmill Hill,Dunkerry Road,,,
0100BRA10332,Filwood Park,Dunster Road,Pole,No,Yes
0100BRA10333,Filwood Park,Dunster Road,Pole,No,Yes
0100BRP91027,Westbury Park,Durdham Park,Shelter,,No
0100BRP91028,Westbury Park,Durdham Park,Shelter,,No
0100BRA10059,Ashton Gate,Durnford Street,Shelter,,No
0100BRZ00699,Ashton Gate,Durnford Street,Pole,No,No
0100BRA10693,Shirehampton,Dursley Rd Terminus,,,No
0100BRA10680,Shirehampton,Dursley Road,,,No
0100BRA10681,Shirehampton,Dursley Road,,,No
0100BRA10193,Brislington,Eagle Road,Shelter,Yes,Yes
0100BRA10930,Brislington,Eagle Road,Shelter,Yes,Yes
100053318,Whitchurch,East Dundry Road,,,
100053319,Whitchurch,East Dundry Road,,,
0100BRP90211,Eastville,East Park,Shelter,,No
0100BRA10073,Bedminster,East Street (c),Shelter,,Yes
0100BRA10561,Fishponds,Eastbury Road,Pole,No,No
0100BRA10562,Fishponds,Eastbury Road,Pole,No,No
0100BRA10250,Whitchurch,Eastcote Park,Pole,No,Yes
0100BRA10251,Whitchurch,Eastcote Park,Pole,No,Yes
0100BRA46639,Eastville (Bristol),Eastgate Centre (a),Shelter,,No
0100BRP90103,Eastville,Eastgate Centre (b),Shelter,,No
0100BRP90104,Eastville,Eastgate Centre (c),Shelter,,No
0100BRP90106,Eastville,Eastgate Centre (d),Shelter,,No
0100BRP90101,Eastville,Eastgate Road,Shelter,,No
0100BRP90102,Eastville,Eastgate Road,Pole,No,No
0100BRC53355,Lockleaze,Eastlake Close,,,
0100BRA10225,Easton,Easton Road,Shelter,,Yes
0100BRA46648,Easton,Easton Road,Shelter,,Yes
0100BRC53385,Eastville,Eastville Park (a),Shelter,Yes,Yes
0100BRC53384,Eastville,Eastville Park (b),Pole,No,No
0100BRP90173,Eastville,Eastville Park (c),Shelter,Yes,Yes
0100BRP90208,Eastville,Eastville Park (d),Pole,No,No
0100BRC53383,Eastville,Eastville Park (b),Shelter,,No
0100BRP90056,Horfield,Eden Grove,Shelter,,Yes
0100BRA10240,Whitchurch,Edgefield Road,Pole,No,Yes
0100BRA10241,Whitchurch,Edgefield Road,Pole,No,Yes
0100BRA10458,Redfield,Edward Street,Shelter,,Yes
0100BRA10459,Redfield,Edward Street,Shelter,,Yes
0100BRA10668,Shirehampton,Elberton Road,Pole,No,No
0100BRA10669,Shirehampton,Elberton Road,Pole,No,No
0100BRP90114,Horfield,Elmcroft Crecsent,Shelter,,No
0100BRP90112,Horfield,Elmcroft Crescent,Shelter,,No
0100BRP90136,Lockleaze,Elmore Road,Pole,No,No
0100BRP90137,Lockleaze,Elmore Road,Pole,No,No
0100BRP92022,Tyndall's Park,Elton Road,Pole,No,No
0100BRP92023,Tyndall's Park,Elton Road,Pole,No,No
0100BRA10500,Whitehall,Embassy Road,Pole,No,No
0100BRA10501,Whitehall,Embassy Road,Shelter,,No
0100BRA10724,Shirehampton,Ermine Way,,,No
0100BRA10725,Shirehampton,Ermine Way,,,No
0100BRP92048,Redland,Ermleet Road,Pole,No,No
0100BRP92049,Redland,Ermleet Road,Shelter,,No
0100BRP90184,Oldbury Court,Ettricke Drive,Pole,No,No
0100BRP90188,Oldbury Court,Ettricke Drive,Shelter,,No
0100BRA10104,Hartcliffe,Fair Furlong,Pole,No,No
0100BRA10105,Hartcliffe,Fair Furlong,Shelter,,No
100053304,Westbury on Trym,Falcondale Road (a),,,
100053303,Westbury on Trym,Falcondale Road (a),,,
0100BRP91075,Westbury on Trym,Falcondale Road (b),,,No
0100BRA10647,Avonmouth,Farr Street,Shelter,,No
0100BRA10648,Avonmouth,Farr Street,Pole,No,No
0100BRA56568,St Anne's,Feeder Road,,,
0100BRA56569,St Anne's,Feeder Road,,,
0100BRA10431,Broom Hill,Fermaine Avenue,Shelter,,No
0100BRA10451,Broom Hill,Fermaine Avenue,Pole,No,No
0100BRP90064,Horfield,Filton Avenue (a),Shelter,,Yes
0100BRP90146,Horfield,Filton Avenue (b),Pole,No,Yes
0100BRP90142,Horfield,Filton Avenue (c),Pole,No,No
0100BRP90065,Horfield,Filton Avenue (d),Pole,No,No
0100BRP90039,Horfield,Filton Road,Shelter,,Yes
0100BRP90040,Horfield,Filton Road,Shelter,,Yes
0100BRA10328,Filwood Park,Filwood Broadway,Pole,No,Yes
0100BRA10329,Inn's Court,Filwood Broadway,Shelter,,No
0100BRA10201,St Anne's Park,First Avenue,Pole,No,No
0100BRA10202,St Anne's Park,First Avenue,Pole,No,No
0100BRA10571,Frenchay,Five Acre Drive,Pole,No,Yes
0100BRP90671,Broomhill,Five Acre Drive,Shelter,,Yes
0100BRA10190,Brislington,Flowers Hill,Shelter,Yes,Yes
0100BRA10191,Brislington,Flowers Hill,Shelter,Yes,Yes
0100BRA10531,Fishponds,Forest Road,Shelter,,No
0100BRA10532,Fishponds,Forest Road,Shelter,,No
0100BRA10260,Hengrove,Fortfield Road,Pole,No,Yes
0100BRA10261,Hengrove,Fortfield Road,Shelter,,Yes
0100BRC53406,Hengrove,Fossedale Avenue,,,
0100BRC53407,Hengrove,Fossedale Avenue,,,
0100BRA10021,Ashton Gate,Frayne Road,Pole,,No
0100BRA10022,Ashton Gate,Frayne Road,Pole,,No
0100BRP90677,Broomhill,Frenchay Park Road,Pole,,Yes
0100BRP90678,Broomhill,Frenchay Park Road,Pole,,Yes
0100BRC53380,Frenchay,Froomshaw Road,,,
0100BRC53381,Frenchay,Froomshaw Road,,,
0100BRA10149,Hartcliffe,Fulford Road,Pole,,Yes
0100BRA10150,Hartcliffe,Fulford Road,Shelter,,Yes
0100BRA10478,St George,Furber Road,Pole,,No
0100BRP90129,Lockleaze,Gainsborough Sq (a),Pole,,No
0100BRP90128,Lockleaze,Gainsborough Sq (b),Pole,,No
0100BRP90127,Lockleaze,Gainsborough Sq (c),Shelter,,No
100053240,Harbour,Gaol Ferry Bridge,Pole,,No
100053241,Harbour,Gaol Ferry Bridge,,,No
100053233,Canon's Marsh,Gasferry Road,Pole,,Yes
100053234,Canon's Marsh,Gasferry Road,Pole,,Yes
0100BRA10129,Hartcliffe,Gatcombe Road,Shelter,,Yes
0100BRA10130,Hartcliffe,Gatcombe Road,Pole,,No
0100BRA10754,Redcliffe,General Hospital,Pole,,No
0100BRA10753,Redcliffe,General Hospital,Pole,,No
0100BRA10460,Redfield,Gilbert Road,Shelter,,Yes
0100BAC30946,Whitchurch,Gilda Parade,Pole,,Yes
0100BRA10352,Whitchurch,Gilda Parade,Pole,,Yes
0100BRA10254,Whitchurch,Gilda Square West,Shelter,,Yes
0100BRA10255,Whitchurch,Gilda Square West,Pole,,Yes
0100BRA10467,St George,Glebe Road,Pole,,No
0100BRA10485,St George,Glen Park,Shelter,,Yes
0100BRA10486,St George,Glen Park,Pole,,Yes
0100BRP90171,Eastville,Glen Park,Shelter,,Yes
0100BRP90210,Eastville,Glen Park,Shelter,,Yes
0100BRP90224,Stapleton,Glenfrome Road,Shelter,,No
0100BRP90227,Stapleton,Glenfrome Road,Shelter,N/A,No
0100BRA10872,Fishponds,Goodneston Road,,,No
0100BRA10873,Fishponds,Goodneston Road,,,No
0100BRA10498,Whitehall,Gordon Road,Shelter,,No
0100BRA10499,Whitehall,Gordon Road,Pole,,No
0100BRP91083,Southmead,Gosforth Road,Shelter,,Yes
0100BRP91084,Southmead,Gosforth Road,Pole,,Yes
0100BRP91036,Stoke Bishop,Grange Court Road,,,
0100BRA10479,Two Mile Hill,Grantham Road,Shelter,,Yes
0100BRA10480,Two Mile Hill,Grantham Road,Shelter,,Yes
0100BRP91078,Southmead,Grasmere Close,Pole,,Yes
0100BRP91080,Southmead,Grasmere Close,Pole,,No
0100BRA56566,Whitchurch,Grass Meers Drive,,,
0100BRA56567,Whitchurch,Grass Meers Drive,,,
0100BRP92056,Southmead,Greenfield Road,Shelter,,Yes
0100BRP92057,Southmead,Greenfield Road,Lamp Post,,No
0100BRA10172,Knowle,Greenleaze,Pole,,Yes
0100BRA10171,Knowle,Greenleaze,Shelter,,Yes
0100BRA10340,Knowle,Greenmore Road (b),Shelter,,Yes
0100BRA10355,Knowle,Greenmore Road (a),Shelter,,Yes
100053339,Ashton Gate,Greenway Bush Lane,Pole,,No
0100BRA10023,Ashton Gate,Greenway Bush Lane,Shelter,,No
0100BRA10167,Knowle,Greenwood Road,Shelter,,Yes
0100BRA10168,Knowle,Greenwood Road,Pole,,Yes
0100BRA10055,Bedminster,Greville Road,Shelter,,No
0100BRZ00698,Bedminster,Greville Road,Pole,,No
0100BRA10031,Southville,Greville Street,Pole,,No
0100BRA10032,Southville,Greville Street,Shelter,,No
0100BRP91087,Southmead,Greystoke Avenue,Pole,,No
0100BRP91088,Southmead,Greystoke Avenue,Pole,,No
0100BRA10836,Coombe Dingle,Grove Road,,,No
0100BRA10837,Coombe Dingle,Grove Road,,,No
0100BRP92043,Redland,Grove Road,Lamp Post,,No
0100BRP92044,Redland,Grove Road,Lamp Post,,No
0100BRA10432,Broom Hill,Guernsey Avenue,Shelter,,No
0100BRP91021,Clifton,Guthrie Road,Pole,,No
0100BRP91022,Clifton,Guthrie Road,Pole,,No
0100BRA10714,Sea Mills,Hadrian Close,,,
0100BRA10666,Shirehampton,Haig Close,Pole,,No
0100BRA10667,Shirehampton,Haig Close,Pole,,No
100053291,Henbury,Hallen Road,Pole,,No
0100BRP92013,Westbury Park,Halsbury Road,,,No
0100BRP92069,Redland,Halsbury Road,Pole,,No
0100BRA10026,Southville,Hamilton Road,Pole,,No
0100BRA10027,Southville,Hamilton Road,Pole,,No
0100BRA10897,Arno's Vale,Hampstead Road,,,No
0100BRA10898,Arno's Vale,Hampstead Road,Pole,,No
0100BRA10474,St George,Harcourt Avenue,Pole,,No
0100BRA10475,St George,Harcourt Avenue,Shelter,,Yes
100053255,Redland,Harcourt Hill,Pole,,No
100053256,Redland,Harcourt Hill,Pole,,No
0100BRA10127,Hartcliffe,Hareclive Road,Shelter,,Yes
0100BRA10128,Hartcliffe,Hareclive Road,Shelter,,Yes
0100BRA10507,Speedwell,Harewood Road,Shelter,,No
0100BRA10508,Speedwell,Harewood Road,Pole,,No
0100BRA10148,Hartcliffe,Hartcliffe Col (a),Pole,,No
0100BRA10147,Hartcliffe,Hartcliffe Col (b),Shelter,,Yes
0100BRA10135,Hartcliffe,Hartcliffe Col (c),Pole,,No
0100BRA10136,Hartcliffe,Hartcliffe Col (d),Shelter,,Yes
0100BRP90025,Bishopston,Hatherley Road,Shelter,,Yes
0100BRP90026,Bishopston,Hatherley Road,Pole,,Yes
0100BRP90120,Lockleaze,Haydon Gardens,Pole,,No
0100BRP90121,Lockleaze,Haydon Gardens,Shelter,,No
0100BRA10421,Stockwood,Hazelbury Road (a),,,No
0100BRA10423,Brislington,Hazelbury Road (b),,,No
0100BRC53403,Bedminster,Headley Lane,Lamp Post,,No
0100BRC53404,Bedminster,Headley Lane,Shelter,,No
0100BRA10121,Headley Park,Headley Park Avenue,Shelter,,No
0100BRA10122,Headley Park,Headley Park Avenue,Pole,,No
0100BRP90107,Eastville,Heath Road (a),Pole,,No
0100BRP90105,Eastville,Heath Road (b),Shelter,,No
0100BRA10528,Fishponds,Heathcote Road,Pole,,No
0100BRA10281,Whitchurch,Heathfield Crescent,Pole,,No
0100BRA10282,Whitchurch,Heathfield Crescent,Shelter,,No
0100BRA10457,Redfield,Heber Street,Shelter,,Yes
0100BRP91073,Henbury,Coombe Way,,,No
0100BRP91074,Henbury,Coombe Way,Pole,,No
0100BRP91045,Westbury on Trym,Henbury Road,Pole,,No
0100BRP91046,Westbury on Trym,Henbury Road,Pole,,No
0100BRP91076,Westbury on Trym,Falcondale Road,Pole,,No
0100BRA10047,Ashton Vale,Hendre Road,Pole,,No
0100BRA10014,Ashton Vale,Hendre Road,,,
0100FBX18339,Hengrove,Hengrove Depot,Lamp Post,No,No
0100FBX18342,Hengrove,Hengrove Depot,Pole,No,No
0100FBX18336,Hengrove,Hengrove Leisure Park,Pole,No,Yes
0100FBX18337,Hengrove,Hengrove Leisure Park,Pole,No,Yes
0100BRA10760,Knowle,Hengrove Road,,,No
0100BRA10761,Knowle,Hengrove Road,,,No
0100BRP91032,Stoke Bishop,Henleaze Gardens,Shelter,,No
0100BRP91033,Stoke Bishop,Henleaze Gardens,Shelter,,No
0100BRP92032,Henleaze,Henleaze Park Drive,Pole,,No
0100BRP92025,Henleaze,Henleaze Road,Pole,,No
0100BRP92026,Henleaze,Henleaze Road,Pole,,No
0100BRP92029,Henleaze,Henley Grove,Shelter,,No
0100BRP92033,Henleaze,Henley Grove,Shelter,,No
0100BRA10238,Whitchurch,Hennessy Close,Pole,,Yes
0100BRA10239,Whitchurch,Hennessy Close,Lamp Post,,Yes
0100BAC30684,Brislington,Hicks Gate,Shelter,,No
0100BAC30685,Brislington,Hicks Gate,Pole,,No
0100BRA10608,Sea Mills,High Grove,Shelter,,No
0100BRA10114,Bedminster Down,Highbury Road,Shelter,,No
0100BRA10115,Bedminster Down,Highbury Road,Shelter,,No
0100BRA10337,Totterdown,Highgrove Street,Shelter,,No
0100BRA10358,Totterdown,Highgrove Street,Shelter,,Yes
0100BRA10092,Highridge,Highridge Green,Pole,,Yes
0100BRA10093,Highridge,Highridge Green,Shelter,,Yes
0100BRA46642,Highridge (Bristol),Highridge Green (c),,,
0100BRA10374,Highridge,Highridge Road,Lamp Post,,No
0100BRA10874,Fishponds,Hockeys Lane,,,No
0100BRA56557,Fishponds,Hockeys Lane,Pole,N/A,No
0100BRA10244,Whitchurch,Holbeach Way,Pole,,Yes
0100BRA10245,Whitchurch,Holbeach Way,Pole,,Yes
0100BRA10139,Hartcliffe,Hollisters Drive,Shelter,,No
0100BRA10140,Hartcliffe,Hollisters Drive,Pole,,No
0100BRA10394,Stockwood,Hollway Road Shops,Pole,,No
0100BRA10404,Whitchurch,Hollway Road Shops,Shelter,,No
0100BRA10624,Stoke Bishop,Hollybush Lane,Pole,,No
0100BRZ01685,Windmill Hill,Holmesdale Road,,,
0100BRZ01686,Windmill Hill,Holmesdale Road,,,
0100BRA10407,Whitchurch,Hooper Road,Pole,,No
0100BRA10408,Whitchurch,Hooper Road,Shelter,,No
0100BRP90149,Lockleaze,Horfield Health Centre,Pole,,No
0100BRA10831,Horfield,Horfield Health Centre,Pole,,No
0100BRP90270,Kingsdown,Horfield Road,Pole,,No
0100BRP90269,Kingsdown,Horfield Road,Pole,,No
0100BRP90037,Horfield,Horfield Sports Cen,Shelter,,No
0100BRP90038,Horfield,Horfield Sports Cen,Shelter,,No
0100BRA10774,Hotwells,Hotwell Road (a),Shelter,Yes,Yes
0100BRA10775,Hotwells,Hotwell Road (b),Pole,No,Yes
0100BRA56551,Hotwells,Hotwell Road (c),,,
0100BRA10773,Hotwells,Hotwells,Shelter,,No
0100BRP92035,Westbury Park,Howard Road,,,
0100BRA10678,Shirehampton,Hung Road,Pole,,No
0100BRA10679,Shirehampton,Hung Road,Pole,,No
0100BRA10181,Brislington,Hungerford Crescent,Pole,,No
0100BRA10182,Brislington,Hungerford Crescent,Pole,,No
0100BRA10183,Brislington,Hungerford Gardens,Pole,,No
0100BRA10184,Brislington,Hungerford Gardens,Shelter,,No
0100BRA10157,Inn's Court,Hurston Road,Pole,,Yes
0100BRA10158,Inn's Court,Hurston Road,Pole,,Yes
0100BRP90175,Eastville,Huyton Road,Shelter,Yes,Yes
0100BRP90206,Eastville,Huyton Road,Shelter,Yes,Yes
100053262,Eastville,Ikea Car Park,,,
100053328,Bedminster Down,Ilchester Cres (a),Pole,,No
100053329,Bedminster Down,Ilchester Cres (b),Pole,,No
100053330,Bedminster Down,Ilchester Cres (c),Pole,,No
100053331,Bedminster Down,Ilchester Cres (d),Pole,,No
0100BRA10334,Filwood Park,Ilminster Avenue,Pole,,Yes
0100BRA10335,Filwood Park,Ilminster Avenue,Pole,,Yes
0100BRA56572,Hartcliffe,Imperial Park,Shelter,Yes,Yes
0100BRA56573,Hartcliffe,Imperial Park,Shelter,Yes,Yes
0100BRP90108,Eastville,Ingmire Road,Pole,,No
0100BRP90109,Eastville,Ingmire Road,Pole,,No
0100BRA10324,Inn's Court,Inns Court Grn (a),Pole,,No
0100BRA10325,Inn's Court,Inns Court Grn (b),Shelter,,No
0100BRA10735,Avonmouth,Int. Trading Estate,,,
0100BRC53368,Brislington,Ironmould Lane,,,
0100BRA10029,Southville,Islington Road,Pole,,No
0100BRA10030,Southville,Islington Road,Pole,,No
0100BRA10776,Canon's Marsh,Jacob's Wells Road,Pole,,No
0100BRA10777,Canon's Marsh,Jacob's Wells Road,,,No
0100BRP91089,Southmead,Jarratts Road,Pole,,Yes
0100BRP91090,Southmead,Jarratts Road,Pole,,No
0100BRA10924,Brislington,Jean Road,Pole,,No
0100BRA10925,Brislington,Jean Road,,,No
0100BRA10917,Broom Hill,Jersey Avenue,Pole,,No
0100BRA10918,Broom Hill,Jersey Avenue,Pole,,No
0100BRA10893,Knowle,Jubilee Road,Pole,,No
0100BRA10894,Knowle,Jubilee Road,,,
0100BRP92075,Horfield Common,Kellaway Crescent,Shelter,,No
0100BRP92076,Horfield Common,Kellaway Crescent,Shelter,,No
0100BRP90074,Ashley Down,Kennington Avenue,Pole,,No
0100BRP90075,Ashley Down,Kennington Avenue,Shelter,,No
0100BRZ01683,Windmill Hill,Kensal Road,,,
0100BRZ01684,Windmill Hill,Kensal Road,,,
100053259,Redland,Kersteman Road,Pole,,No
100053260,Redland,Kersteman Road,Pole,,Yes
0100BRA10814,Easton,Kilburn Street,,,No
0100BRA10815,Easton,Kilburn Street,,,No
0100BRP90675,Broomhill,Kingfisher Drive,,,
0100SGY38500,Broomhill,Kingfisher Drive,,,
0100BRP92004,Bishopston,King's Drive,Pole,,No
0100BRP92005,Bishopston,King's Drive,Pole,,No
0100BRC53399,Bedminster Down,Kings Head Lane (a),Pole,,No
0100BRA10369,Highridge,Kings Head Lane (b),Pole,,No
0100BRA10370,Highridge,Kings Head Lane (c),Lamp Post,,No
0100BRA10593,Shirehampton,Kings Weston Avenue,Pole,,No
0100BRA10594,Shirehampton,Kings Weston Avenue,,,
100053248,Kingsdown,Kingsdown Parade,Pole,,No
100053249,Kingsdown,Kingsdown Parade,Shelter,,No
0100BRP92037,Southmead,Kingsholm Road,Shelter,,No
0100BRP92038,Southmead,Kingsholm Road,Shelter,,No
0100BRA56560,The Dings,Kingsland Road,Pole,,No
0100BRC53394,The Dings,Kingsland Road,Pole,,No
0100BRA10879,Bishopston,Kingsley Road,,,
0100BRA10851,St George,Kingsway Newent Ave,,,
0100BRA10852,St George,Kingsway Newent Ave,,,
0100BRA10847,St George,Kingsway Shops,,,
0100BRA10848,St George,Kingsway Shops,,,
100053267,Brentry,Knole Lane,,,
0100BRP91095,Brentry,Knole Lane,,,
0100BRA10313,Lower Knowle,Knowle Health Ctr,Shelter,,No
0100BRA10945,Lower Knowle,Knowle Health Ctr,,,
0100BAC30742,Stockwood,Lacey Road,Lamp Post,,No
0100BAC30743,Stockwood,Lacey Road,,,
0100BRA10942,Sneyd Park,Ladies Mile,Lamp Post,,No
0100BRA10396,Stockwood,Ladman Road,Pole,,No
0100BRA10400,Stockwood,Ladman Road,Pole,,No
0100BRP92027,Henleaze,Lake Road,Shelter,,No
0100BRP92028,Henleaze,Lake Road,Shelter,,No
0100BRA10377,Highridge,Lakemead Grove,Pole,,No
0100BRA10378,Highridge,Lakemead Grove,,,
0100BRA10376,Highridge,Lakemead Grove Term,Shelter,,No
0100BRP90163,Old Market,Lamb Street,Shelter,,Yes
0100BRA10137,Hartcliffe,Lampton Avenue,Shelter,,Yes
0100BRA10138,Hartcliffe,Lampton Avenue,Shelter,,Yes
0100BRP90153,Lockleaze,Landseer Avenue,Shelter,,No
0100BRP90154,Lockleaze,Landseer Avenue,Pole,,No
0100BRP91091,Southmead,Lanercost Road,Shelter,,No
0100BRP91092,Southmead,Lanercost Road,Pole,,Yes
0100BRA10363,Bedminster Down,Langford Road,Shelter,,No
0100BRA10364,Bedminster Down,Langford Road,Pole,,No
0100BRA10006,Ashton Vale,Langley Crescent,Shelter,,No
0100BRA10909,St Anne's,Langton Court Road,Pole,,No
0100BRA10910,St Anne's,Langton Court Road,Pole,,No
0100BRA10812,Easton,Lawrence Hill Depot,Pole,,No
0100BRA10813,Easton,Lawrence Hill Depot,Pole,,No
0100BRA10454,Lawrence Hill,Lawrence Hl Stn (a),Shelter,,Yes
0100BRA10455,Lawrence Hill,Lawrence Hl Stn (b),Shelter,,Yes
0100BRA10456,Lawrence Hill,Lawrence Hl Stn (c),Shelter,,Yes
0100BRA10583,Lawrence Weston,Lawrence Weston Rd,Shelter,,No
0100BRA10584,Lawrence Weston,Lawrence Weston Rd,Shelter,,No
0100BRC53363,Fishponds,Ledbury Road,,,No
0100SGB20368,Fishponds,Ledbury Road,Pole,,No
100053236,Harbour,Leisure Centre,Pole,,No
0100BRA10131,Hartcliffe,Lenover Gardens,Pole,,No
0100BRA10132,Hartcliffe,Lenover Gardens,Shelter,,Yes
0100BRP90342,Broadmead,Lewins Mead (he),Shelter,,No
0100BRP90341,Broadmead,Lewins Mead (hm),Pole,,No
100053334,Bedminster,Lewis Road (a),,,No
100053335,Bedminster,Lewis Road (b),,,No
0100BRA10311,Bedminster,Littleton Road,Shelter,,No
0100BRA10312,Bedminster,Littleton Road,Pole,,No
0100BRP90061,Horfield,Lockleaze Road,Pole,,Yes
0100BRP90063,Horfield,Lockleaze Road,Shelter,,Yes
0100BRP90177,Fishponds,Lodge Causeway,Shelter,Yes,Yes
0100BRP90203,Fishponds,Lodge Causeway,Shelter,Yes,Yes
0100BRA10860,Two Mile Hill,Lodge Road,,,No
0100BRA10861,Two Mile Hill,Lodge Road,,,No
0100BRA10515,Two Mile Hill,Lodgeside Avenue,Pole,,No
0100BRA10516,Two Mile Hill,Lodgeside Avenue,Pole,,No
0100BRA10895,Knowle,Lodway Road,Pole,,
0100BRA10896,Knowle,Lodway Road,,,
0100BRC53365,Oldbury Court,Long Close,Pole,,No
0100BRP90186,Oldbury Court,Long Close,Shelter,,No
0100BRA10585,Lawrence Weston,Long Cross Lay-by,Shelter,,No
0100BRA10586,Lawrence Weston,Long Cross Lay-by,Shelter,,No
0100BRA10242,Whitchurch,Longacre Road,Pole,,Yes
0100BRA10243,Whitchurch,Longacre Road,Lamp Post,,Yes
0190SBX18338,Long Ashton,Long Ashton P&R,,,
0100BRP92039,Golden Hill,Longmead Avenue,Pole,,No
0100BRP92040,Golden Hill,Longmead Avenue,Shelter,,No
0100BRA10411,Stockwood,Longreach Grove,Pole,,No
0100BRA10412,Stockwood,Longreach Grove,Shelter,,No
0100BRA46643,Whitchurch,Longway Avenue,,,
0100BRA46644,Whitchurch,Longway Avenue,,,
0100BRA10262,Hengrove,Loxton Square,Pole,,No
0100BRA10263,Hengrove,Loxton Square,Pole,,yes
0100BRA10050,Bedminster,Luckwell Road,Pole,,Yes
0100BRA10051,Bedminster,Luckwell Road,Pole,,Yes
0100BRA10080,Bedminster Down,Lulsgate Road,Shelter,,No
0100BRP91115,Southmead,Lydney Road,Pole,,No
0100BRA10767,Bedminster,Lynton Road,,,No
0100BRA10766,Bedminster,Lynton Road,,,No
0100BRA10496,Whitehall,Lyppiat Road,Shelter,,No
0100BRA10497,Whitehall,Lyppiat Road,Pole,,No
100053293,Brentry,Lyppincourt Road,Shelter,,No
100053294,Brentry,Lyppincourt Road,Shelter,,No
0100BRA10591,Lawrence Weston,Mancroft Avenue,Shelter,,No
0100BRA10592,Lawrence Weston,Mancroft Avenue,Shelter,,No
0100BRA10415,Brislington,Manston Close,Shelter,,No
0100BRA10417,Brislington,Manston Close,Pole,,No
0100BRA10748,Harbour,Mardyke Ferry Road,,,No
0100BRA10747,Harbour,Mardyke Ferry Road,,,
0100BRA16928,Harbour,Mardyke Ferry Road (a),,,No
0100BRP91062,Henbury,Marissal Road,Shelter,,Yes
0100BRP91063,Henbury,Marissal Road,Pole,,Yes
0100BRA10751,Harbour,Maritime Museum,Lamp Post,,No
0100BRA10866,Hillfields,Market Square,Pole,,No
0100BRA10867,Hillfields,Market Square,Pole,,No
0100BRP90366,Kingsdown,Marlborough St (rm),Shelter,,No
0100BRA10470,St George,Marling Road,Pole,,No
0100BRA10471,St George,Marling Road,Shelter,,No
0100BRP91103,Brentry,Marlwood Drive,Shelter,,No
0100BRP91104,Brentry,Marlwood Drive,Shelter,,Yes
0100BRA10048,Ashton Vale,Marsh Lane,Pole,,Yes
0100BRA10049,Ashton Vale,Marsh Lane,Pole,,Yes
0100BRA10764,Bedminster,Martock Road,,,No
0100BRA10765,Bedminster,Martock Road,,,No
0100BRA10882,Henleaze,Maskelyne Road,,,No
0100BRA10883,Henleaze,Maskelyne Road,,,No
0100BRA10533,Fishponds,Mayfield Park,Pole,,No
0100BRA10534,Fishponds,Mayfield Park,Shelter,,No
0100BRA10145,Hartcliffe,Maynard Road,,,
0100BRC53396,Hartcliffe,Maynard Road,Lamp Post,,No
0100BRP90192,Fishponds,Maywood Road,Pole,,No
0100BRP90199,Fishponds,Maywood Road,Shelter,Yes,Yes
0100BRA10649,Avonmouth,Mclaren Road,Pole,,No
0100BRA10303,Windmill Hill,Mead Street,Pole,,No
0100BRA10304,Windmill Hill,Mead Street,Pole,,No
0100BRA10598,Shirehampton,Meadow Grove,Shelter,,No
0100BRA10397,Stockwood,Meardon Road,Pole,,No
0100BRA10399,Stockwood,Meardon Road,Shelter,,No
0100BRP90132,Lockleaze,Melton Crescent,Pole,,No
0100BRP90133,Lockleaze,Melton Crescent,Pole,,No
0100BRA10323,Filwood Park,Melvin Square (a),Pole,,No
0100BRA10161,Filwood Park,Melvin Square (b),Pole,,No
0100BRA10336,Filwood Park,Melvin Square (c),Pole,,Yes
0100BRA10162,Filwood Park,Melvin Square (d),Pole,,No
0100BRZ01657,Bedminster,Mendip Road,,,
0100BRZ01658,Bedminster,Mendip Road,,,
0100BRA10868,Fishponds,Mendip View Avenue,Pole,,No
0100BRA10869,Fishponds,Mendip View Avenue,,,No
0100BRA10772,Hotwells,Merchants Road,Shelter,,Yes
0100BRA10113,Bedminster,Mill Lane,Pole,,No
0100BRP92067,Southmead,Monk's Park Avenue,Pole,,Yes
0100BRP92068,Southmead,Monk's Park Avenue,Shelter,,Yes
0100BRA01799,Southmead,Monk's Park Way,Shelter,,No
0100BRA01800,Southmead,Monk's Park Way,,,
0100BRA10299,Knowle,Monmouth Street,Pole,,No
0100BRA10300,Knowle,Monmouth Street,Pole,,No
0100BRC53372,Brislington,Montrose Park,Pole,,
0100BRA10587,Lawrence Weston,Moor Grove,Pole,,No
0100BRA10588,Lawrence Weston,Moor Grove,Shelter,,No
0100BRA10413,Stockwood,Morden Walk,Pole,,No
0100BRA10414,Stockwood,Morden Walk,Shelter,,No
0100BRA10220,Barton Hill,Morley Street,Shelter,,No
0100BRA10221,Barton Hill,Morley Street,Pole,,No
0100BRP90117,Lockleaze,Morris Road,Pole,,No
0100BRP90118,Lockleaze,Morris Road,Shelter,,No
0100BRX43052,Fishponds,Morrisons Fishponds,,,
0100BRP90069,Horfield,Muller Rd Depot (a),Shelter,,No
0100BRP90070,Horfield,Muller Rd Depot (b),Shelter,,No
0100BRP90071,Horfield,Muller Rd Depot (c),Shelter,,No
0100BRP90034,Horfield,Muller Road Top (a),Shelter,,No
0100BRP90035,Horfield Common,Muller Road Top (b),Shelter,,Yes
