Licence number,Licence Type,Status,Date licence issued,Date licence expires,Vehicle Type,Vehicle Registration Number,Vehicle Colour,Operator/Association
10494,Private Hire Vehicle,Licence Issued,12/08/15 0:00,11/08/16 0:00,Toyota Avensis,MJ11OUE,GREY,Amber Cars
10495,Private Hire Vehicle,Licence Issued,2/10/15 0:00,1/10/16 0:00,Volkswagen Passat,DF11LGO,BLUE,Aireline/Holbeck Line
1050,Private Hire Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Skoda Octavia,TH54DAK,Black,Star Supreme Line
10500,Private Hire Vehicle,Licence Issued,5/08/15 0:00,4/08/16 0:00,Skoda Superb,WV60ZZA,MAROON,UBER
1051,Private Hire Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Peugeot 307,YA08PFX,BLACK,Amber Cars
1052,Private Hire Vehicle,Licence Issued,9/06/15 0:00,8/06/16 0:00,Skoda Octavia,F13RHN,BLACK,Amber Cars
1053,Private Hire Vehicle,Licence Issued,30/07/15 0:00,29/07/16 0:00,Skoda Octavia,FN60UVU,BLUE,UBER
1054,Private Hire Vehicle,Licence Issued,18/09/15 0:00,17/09/16 0:00,Skoda Octavia,EJ11XHD,RED,Wheels
1056,Private Hire Vehicle,Licence Issued,26/09/15 0:00,25/09/16 0:00,Skoda Octavia,FR13XGW,SILVER,Amber Cars
1057,Private Hire Vehicle,Licence Issued,5/04/15 0:00,4/04/16 0:00,Citroen Berlingo,SK13KWP,SILVER,South Leeds
1058,Private Hire Vehicle,Licence Issued,15/02/15 0:00,14/02/16 0:00,Toyota Auris,GP08VBL,BLACK,Morley Cars
1059,Private Hire Vehicle,Licence Issued,27/09/15 0:00,26/09/16 0:00,Skoda Octavia,FT62EYG,GREY,UBER
1060,Private Hire Vehicle,Licence Issued,15/12/14 0:00,14/12/15 0:00,Renault Megane,SH10XJA,Black,Amber Cars
1061,Private Hire Vehicle,Licence Issued,20/10/15 0:00,19/10/16 0:00,Skoda Octavia,ND10BGF,SILVER,UBER
1062,Private Hire Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Hyundai 130,NV61MDY,GREY,Wheels
1063,Private Hire Vehicle,Licence Issued,14/03/15 0:00,13/03/16 0:00,Skoda Octavia,NJ09OLE,SILVER,Morley Central Line
1064,Private Hire Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Toyota Avensis,FE57HDZ,BLUE,Amber Cars
1065,Private Hire Vehicle,Licence Issued,9/06/15 0:00,8/06/16 0:00,Skoda Rapid,YB63MUC,BLUE,Stanningley Cars Ltd
1066,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Honda Accord,G114FOR,BLACK,Premier Licensed Private Hire
1067,Private Hire Vehicle,Licence Issued,11/04/15 0:00,10/04/16 0:00,Toyota Avensis,SM60EZR,GREY,Amber Cars
1068,Private Hire Vehicle,Licence Issued,22/07/15 0:00,21/07/16 0:00,Volkswagen Golf,YC12OVP,White,Premier Licensed Private Hire
1069,Private Hire Vehicle,Licence Issued,7/09/15 0:00,6/09/16 0:00,Skoda Octavia,FV61DBO,SILVER,ITS Roadrunners
1070,Private Hire Vehicle,Licence Issued,26/09/15 0:00,25/09/16 0:00,Skoda Octavia,FR13XHE,BLUE,Amber Cars
1071,Private Hire Vehicle,Licence Issued,22/05/15 0:00,21/05/16 0:00,Vauxhall Vectra,DN58DFX,SILVER,G And M Cars
1072,Private Hire Vehicle,Licence Issued,17/12/14 0:00,16/12/15 0:00,Vauxhall Astra,BX10LME,Silver,ITS Roadrunners
1073,Private Hire Vehicle,Licence Issued,19/12/14 0:00,18/12/15 0:00,Skoda Octavia,MJ10WVZ,BLACK,ITS Roadrunners
1074,Private Hire Vehicle,Licence Issued,12/12/15 0:00,11/12/16 0:00,Skoda Octavia,FD11VUY,GREEN,Wheels
1075,Private Hire Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Volkswagen Passat,AE08AEH,BLACK,Beeston Line
1076,Private Hire Vehicle,Licence Issued,19/12/14 0:00,18/12/15 0:00,Volkswagen Jetta,LS58KHD,BLACK,Amber Cars
1077,Private Hire Vehicle,Licence Issued,17/12/14 0:00,16/12/15 0:00,Skoda Octavia,NA11TJV,SILVER,Arrow
1078,Private Hire Vehicle,Licence Issued,21/12/14 0:00,20/12/15 0:00,Skoda Octavia,YH59CFY,SILVER,South Leeds
1079,Private Hire Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Toyota Avensis,OFZ4157,WHITE,1st Apollo / A Metro Cars
1080,Private Hire Vehicle,Licence Issued,9/12/15 0:00,8/12/16 0:00,Skoda Rapid,YF63EYS,WHITE,Club Cars
1081,Private Hire Vehicle,Licence Issued,11/01/15 0:00,10/01/16 0:00,Skoda Octavia,HV59HFC,GREY,Amber Cars
1082,Private Hire Vehicle,Licence Issued,9/01/15 0:00,8/01/16 0:00,Vauxhall Insignia,EO61AOS,BLACK,Star Supreme Line
1083,Private Hire Vehicle,Licence Issued,8/05/15 0:00,7/05/16 0:00,Skoda Rapid,YC64JFG,WHITE,Amber Cars
1084,Private Hire Vehicle,Licence Issued,20/02/15 0:00,19/02/16 0:00,Volkswagen Jetta,ND10KOV,GREY,South Leeds
1085,Private Hire Vehicle,Licence Issued,11/05/15 0:00,10/05/16 0:00,Citroen Berlingo,SH12KAU,SILVER,South Leeds
1086,Private Hire Vehicle,Licence Issued,28/05/15 0:00,27/05/16 0:00,Skoda Octavia,HY09OBH,BLACK,UBER
1087,Private Hire Vehicle,Licence Issued,3/06/15 0:00,2/06/16 0:00,Toyota Prius,DG58VPV,BLUE,UBER
1088,Private Hire Vehicle,Licence Issued,16/08/15 0:00,15/08/16 0:00,Toyota Avensis,FG12LGN,Black,Arrow
1089,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Fiat Doblo,NK59AUT,SILVER,NOT WORKING
1091,Private Hire Vehicle,Licence Issued,11/01/15 0:00,10/01/16 0:00,Toyota Auris,ND08PBU,SILVER,New Armley Cars
1092,Private Hire Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Skoda Octavia,RJ08LGC,SILVER,A1 Leeds
1093,Private Hire Vehicle,Licence Issued,28/06/15 0:00,27/06/16 0:00,Skoda Octavia,SE08MWU,SILVER,Geo Cars 3 (HQ)
1094,Private Hire Vehicle,Licence Suspended,1/08/15 0:00,31/07/16 0:00,Vauxhall Astra,KR10KFA,GREY,Amber Cars
1095,Private Hire Vehicle,Licence Issued,25/04/15 0:00,24/04/16 0:00,Vauxhall Insignia,NG09RCV,BLACK,1st Apollo / A Metro Cars
1096,Private Hire Vehicle,Licence Issued,14/04/15 0:00,13/04/16 0:00,Vauxhall Astra,KM59OTW,WHITE,Local Cars (Morley)
1097,Private Hire Vehicle,Licence Issued,14/06/15 0:00,13/06/16 0:00,Honda Accord,DV58UST,RED,Premier Licensed Private Hire
1098,Private Hire Vehicle,Licence Issued,25/09/15 0:00,24/09/16 0:00,Skoda Octavia,FT62CKG,SILVER,Wheels
1099,Private Hire Vehicle,Licence Issued,22/05/15 0:00,21/05/16 0:00,Skoda Octavia,BD58DXW,SILVER,Amber Cars
1100,Private Hire Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Toyota Avensis,FL58PRX,GREY,Gee Gee Cars
1101,Private Hire Vehicle,Licence Issued,16/10/15 0:00,15/10/16 0:00,Skoda Octavia,MK61YWT,MAROON,Amber Cars
1102,Private Hire Vehicle,Licence Issued,29/11/14 0:00,28/11/15 0:00,Citroen C5,PF09UNU,SILVER,Stanningley Cars Ltd
1103,Private Hire Vehicle,Licence Issued,29/01/15 0:00,28/01/16 0:00,Toyota Prius,R100PYL,WHITE,Wheels
1104,Private Hire Vehicle,Licence Issued,20/12/14 0:00,19/12/15 0:00,BMW 318,YE58VWR,BLACK,Wheels
1105,Private Hire Vehicle,Licence Issued,17/07/15 0:00,16/07/16 0:00,Citroen C5,BL10EUV,Blue,Easy Travel
1106,Private Hire Vehicle,Licence Issued,30/11/14 0:00,29/11/15 0:00,Mercedes C200,DG59YYT,BLACK,Arrow
1107,Private Hire Vehicle,Licence Issued,15/05/15 0:00,14/05/16 0:00,Toyota Avensis,MJ11KKN,GREY,ITS Roadrunners
1108,Private Hire Vehicle,Licence Issued,13/09/15 0:00,12/09/16 0:00,Skoda Octavia,FY62UTU,GREY,SJK Travel2Airport.com
1109,Private Hire Vehicle,Licence Issued,31/05/15 0:00,30/05/16 0:00,Toyota Prius,YT59CLY,SILVER,ITS Roadrunners
1110,Private Hire Vehicle,Licence Issued,19/12/14 0:00,18/12/15 0:00,Seat Exeo,NJ60YEB,WHITE,Star Supreme Line
1111,Private Hire Vehicle,Licence Issued,22/04/15 0:00,21/04/16 0:00,Vauxhall Astra,VK09ROH,BLACK,South Leeds
1112,Private Hire Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Toyota Auris,GV59GYD,BLACK,Morley Cars
1113,Private Hire Vehicle,Licence Issued,30/07/15 0:00,29/07/16 0:00,Skoda Superb,WG14EVN,BLACK,South Leeds
1114,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Toyota Avensis,FG57KNF,BLACK,Apex Cars
1115,Private Hire Vehicle,Licence Issued,23/01/15 0:00,22/01/16 0:00,Mazda 6TS2,YR59ZXV,BLUE,Premier Licensed Private Hire
1116,Private Hire Vehicle,Licence Suspended,20/06/15 0:00,19/06/16 0:00,Honda Accord,YP58RCO,SILVER,Ace Cars Leeds Ltd
1117,Private Hire Vehicle,Licence Issued,9/02/15 0:00,8/02/16 0:00,Mercedes 220,BV14KSY,Silver,Premier Licensed Private Hire
1118,Private Hire Vehicle,Licence Issued,11/09/15 0:00,10/09/16 0:00,Skoda Octavia,FT62KFF,Grey,Amber Cars
1119,Private Hire Vehicle,Licence Issued,31/07/15 0:00,30/07/16 0:00,Toyota Auris,YB13FYS,SILVER,UBER
1120,Private Hire Vehicle,Licence Issued,11/03/15 0:00,10/03/16 0:00,Volkswagen Passat,DP10NLN,White,SJK Travel2Airport.com
1121,Private Hire Vehicle,Licence Issued,20/05/15 0:00,19/05/16 0:00,Skoda Superb,WG14OPZ,Grey,Arrow
1122,Private Hire Vehicle,Licence Issued,16/04/15 0:00,15/04/16 0:00,Ford Mondeo,SH09ODV,SILVER,SJK Travel2Airport.com
1123,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Fiat Doblo Automot Grp,NK59AUU,SILVER,Morley Central Line
1124,Private Hire Vehicle,Licence Issued,10/12/14 0:00,9/12/15 0:00,Audi A4,KY58EVX,RED,G And M Cars
1125,Private Hire Vehicle,Licence Issued,4/11/15 0:00,3/11/16 0:00,Toyota Auris,FG62XHN,BLUE,UBER
1126,Private Hire Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Skoda Octavia,YB09OHZ,Red,Morley Cars
1127,Private Hire Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Toyota Avensis,YC11FLF,BLACK,Gee Gee Cars
1128,Private Hire Vehicle,Licence Issued,3/11/15 0:00,2/10/16 0:00,Skoda Octavia,GF59URG,BLUE,Speed Line
1130,Private Hire Vehicle,Licence Issued,27/09/15 0:00,26/09/16 0:00,Vauxhall Astra,YP09BVD,SILVER,UBER
1131,Private Hire Vehicle,Licence Issued,24/01/15 0:00,23/01/16 0:00,Seat Exeo,MA60NVX,SILVER,Gee Gee Cars
1132,Private Hire Vehicle,Licence Issued,18/04/15 0:00,17/04/16 0:00,Vauxhall Vectra,MM57AWH,BLACK,T Line
1133,Private Hire Vehicle,Licence Suspended,20/09/15 0:00,19/09/16 0:00,Skoda Octavia,MJ59ECN,GREY,NOT WORKING
1134,Private Hire Vehicle,Licence Issued,19/06/15 0:00,18/06/16 0:00,BMW 520,LG12KXN,SILVER,Pudsey B Line
1135,Private Hire Vehicle,Licence Issued,5/12/15 0:00,4/12/16 0:00,Skoda Octavia,DG60EDO,White,Wheels
1136,Private Hire Vehicle,Licence Suspended,23/01/15 0:00,22/01/16 0:00,Vauxhall Insignia,YC60MJX,Grey,Geo Cars 3 (HQ)
1138,Private Hire Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Citroen Berlingo,SL13BHN,SILVER,South Leeds
1139,Private Hire Vehicle,Licence Issued,14/04/15 0:00,13/04/16 0:00,Skoda Octavia,OE10RFL,BLUE,Time Line
1140,Private Hire Vehicle,Licence Issued,14/07/15 0:00,13/07/16 0:00,Ford Mondeo,FN11GVY,SILVER,Premier Licensed Private Hire
1141,Private Hire Vehicle,Licence Issued,14/04/15 0:00,13/04/16 0:00,Skoda Octavia,FR11CYS,GREY,Stanningley Cars Ltd
1142,Private Hire Vehicle,Licence Issued,17/04/15 0:00,16/04/16 0:00,Skoda Octavia,PE60XGS,Black,Gee Gee Cars
1143,Private Hire Vehicle,Licence Issued,9/02/15 0:00,8/02/16 0:00,Toyota Avensis,HJ10HNC,BLUE,UBER
1144,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Toyota Prius,VN08JBV,Blue,UBER
1145,Private Hire Vehicle,Licence Issued,13/09/15 0:00,12/09/16 0:00,Skoda Octavia,FY62UWK,GREY,Amber Cars
1146,Private Hire Vehicle,Licence Issued,20/11/14 0:00,19/11/15 0:00,Skoda Octavia,FT62EYD,BEIGE,Stanningley Cars Ltd
1147,Private Hire Vehicle,Licence Suspended,1/04/15 0:00,31/03/16 0:00,Honda Accord,SD05HCU,BLUE,Local Cars (Morley)
1148,Private Hire Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,GV06EXR,SILVER,Morley Cars
1149,Private Hire Vehicle,Licence Issued,26/09/15 0:00,25/09/16 0:00,Skoda Octavia,FR13XGZ,GREY,Amber Cars
1150,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Volkswagen Jetta,AD07UFS,SILVER,Royal Cars/New Royal Cars
1151,Private Hire Vehicle,Licence Issued,5/11/15 0:00,4/11/16 0:00,Toyota Avensis,FL08HPE,SILVER,Morley Cars
1152,Private Hire Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Skoda Octavia,YF06NHU,BLUE,Local Cars (Morley)
1153,Private Hire Vehicle,Licence Issued,16/04/15 0:00,15/04/16 0:00,Skoda Octavia,YP10FDY,WHITE,Stanningley Cars Ltd
1154,Private Hire Vehicle,Licence Issued,13/09/15 0:00,12/09/16 0:00,Seat Exeo,OY10AOA,GREY,Wheels
1155,Private Hire Vehicle,Licence Issued,26/11/15 0:00,25/11/16 0:00,Toyota Avensis,YP60FEX,BLUE,Wheels
1156,Private Hire Vehicle,Licence Issued,29/11/14 0:00,28/11/15 0:00,Skoda Octavia,DG60ZFA,BLACK,Speed Line
1157,Private Hire Vehicle,Licence Issued,8/09/15 0:00,7/09/16 0:00,Toyota Avensis,SL07XKC,SIVER,Gee Gee Cars
1158,Private Hire Vehicle,Licence Issued,26/10/15 0:00,25/10/16 0:00,Skoda Octavia,CA59KGY,GREY,Dees
1159,Private Hire Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Skoda Octavia,AJ09GYY,SILVER,New Armley Cars
1161,Private Hire Vehicle,Licence Issued,22/06/15 0:00,21/06/16 0:00,Toyota Avensis,RA57WGV,BLACK,Local Cars (Morley)
1162,Private Hire Vehicle,Licence Issued,21/05/15 0:00,20/05/16 0:00,Kia Ceed,FT10ZWW,RED,Amber Cars
1163,Private Hire Vehicle,Licence Issued,13/06/15 0:00,12/06/16 0:00,Volkswagen Golf,VO59ZGB,Silver,South Leeds
1164,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Volkswagen Jetta,VO09EBD,GREY,UBER
1165,Private Hire Vehicle,Licence Issued,23/11/14 0:00,22/11/15 0:00,Jaguar X Type,EK58RWY,BLACK,SJK Travel2Airport.com
1166,Private Hire Vehicle,Licence Issued,13/09/15 0:00,12/09/16 0:00,Skoda Octavia,FY62UJT,BLACK,UBER
1167,Private Hire Vehicle,Licence Issued,5/10/15 0:00,4/10/16 0:00,Toyota Avensis,YE09GNX,BLUE,Amber Cars
1168,Private Hire Vehicle,Licence Issued,26/01/15 0:00,25/01/16 0:00,Skoda Rapid,FT63PJY,BLACK,Premier Licensed Private Hire
1169,Private Hire Vehicle,Licence Issued,27/06/15 0:00,26/06/16 0:00,Toyota Avensis,GV58ORG,SILVER,Highways Private Hire
1170,Private Hire Vehicle,Licence Issued,15/05/15 0:00,14/05/16 0:00,Vauxhall Insignia,VE10DHX,WHITE,UBER
1171,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Skoda Octavia,FT62EYU,BLACK,Wheels
1172,Private Hire Vehicle,Licence Issued,24/08/15 0:00,23/08/16 0:00,Volkswagen Passat,VN12VUL,SIVER,UBER
1173,Private Hire Vehicle,Licence Issued,27/09/15 0:00,26/09/16 0:00,Skoda Octavia,FT62CKF,SILVER,UBER
1174,Private Hire Vehicle,Licence Issued,26/09/15 0:00,25/09/16 0:00,Skoda Octavia,FR13XHU,SILVER,Amber Cars
1175,Private Hire Vehicle,Licence Issued,13/06/15 0:00,12/06/16 0:00,Skoda Octavia,YX11XCJ,GREY,UBER
1176,Private Hire Vehicle,Licence Issued,25/09/15 0:00,24/09/16 0:00,Skoda Octavia,FT62KGZ,SILVER,Royal Cars/New Royal Cars
1177,Private Hire Vehicle,Licence Issued,21/05/15 0:00,20/05/16 0:00,Audi A3,AAH11L,RED,New Armley Cars
1178,Private Hire Vehicle,Licence Issued,23/05/15 0:00,22/05/16 0:00,Volkswagen Passat,RJ10NUY,BLACK,South Leeds
1179,Private Hire Vehicle,Licence Issued,19/05/15 0:00,18/05/16 0:00,Volkswagen Passat,DG11EHC,GREY,SJK Travel2Airport.com
1180,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Toyota Avensis,YD61JDO,BLACK,Geo Cars 3 (HQ)
1181,Private Hire Vehicle,Licence Issued,2/12/14 0:00,1/12/15 0:00,Vauxhall Astra,KU09TPY,SILVER,Morley Central Line
1182,Private Hire Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Skoda Octavia,OV58LPU,BLACK,Wheels
1183,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Audi A4,VK07NFF,BLACK,Aireline/Holbeck Line
1184,Private Hire Vehicle,Licence Issued,25/07/15 0:00,24/07/16 0:00,Vauxhall Insignia,KU10GDO,SILVER,1st Apollo / A Metro Cars
1186,Private Hire Vehicle,Licence Issued,10/05/15 0:00,9/05/16 0:00,Toyota Prius,FL10DPN,WHITE,South Leeds
1187,Private Hire Vehicle,Licence Issued,6/02/15 0:00,5/02/16 0:00,Toyota Avensis,YF61KZZ,BLACK,Arrow
1188,Private Hire Vehicle,Licence Issued,1/04/15 0:00,31/03/16 0:00,Skoda Octavia,SG07NNC,Black,UBER
1189,Private Hire Vehicle,Licence Issued,8/04/15 0:00,7/04/16 0:00,Toyota Prius,YF60OSX,GREY,Wheels
1190,Private Hire Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Volkswagen Jetta,YR57GHD,BLACK,Amber Cars
1191,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Skoda Octavia,YC63NFT,BLACK,Wheels
1192,Private Hire Vehicle,Licence Issued,29/11/14 0:00,28/11/15 0:00,Skoda Octavia,YE62RZR,GREY,Premier Licensed Private Hire
1193,Private Hire Vehicle,Licence Issued,20/05/15 0:00,19/05/16 0:00,Vauxhall Astra,BL11ZHM,Silver,Ace Cars Leeds Ltd
1194,Private Hire Vehicle,Licence Issued,22/08/15 0:00,21/08/16 0:00,Ford Mondeo,YB63CRU,SILVER,Amber Cars
1195,Private Hire Vehicle,Licence Issued,15/11/14 0:00,14/11/15 0:00,Ford Mondeo,YT59YUG,SILVER,Ace Cars Leeds Ltd
1196,Private Hire Vehicle,Licence Issued,21/07/15 0:00,20/07/16 0:00,Skoda Octavia,FT62KGF,GREY,Ace Cars Leeds Ltd
1197,Private Hire Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Toyota Avensis,MV10HYN,BLACK,ITS Roadrunners
1198,Private Hire Vehicle,Licence Issued,26/09/15 0:00,25/09/16 0:00,Skoda Octavia,FR13XHD,GREY,Amber Cars
1199,Private Hire Vehicle,Licence Issued,27/09/15 0:00,26/09/16 0:00,Skoda Octavia,FT62KHX,GREY,NOT WORKING
1200,Private Hire Vehicle,Licence Issued,12/11/15 0:00,11/11/16 0:00,Skoda Octavia,FY12OZK,GREEN,Amber Cars
1201,Private Hire Vehicle,Licence Issued,13/07/15 0:00,12/07/16 0:00,Toyota Auris,MJ62RYR,WHITE,South Leeds
1202,Private Hire Vehicle,Licence Issued,14/10/15 0:00,13/10/16 0:00,Toyota Prius,MX65XCH,SILVER,Ace Cars Leeds Ltd
1203,Private Hire Vehicle,Licence Issued,3/04/15 0:00,2/04/16 0:00,Vauxhall Vectra,N800WAS,SILVER,ITS Roadrunners
1204,Private Hire Vehicle,Licence Issued,6/02/15 0:00,5/02/16 0:00,Vauxhall Astra,KU60RYO,BLACK,Morley Central Line
1205,Private Hire Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Skoda Octavia,YF08HGM,BLUE,South Leeds
1206,Private Hire Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Skoda Octavia,FT62KMJ,SILVER,Amber Cars
1207,Private Hire Vehicle,Licence Issued,30/01/15 0:00,29/01/16 0:00,Skoda Superb,CN59ZCL,BLACK,UBER
1208,Private Hire Vehicle,Licence Issued,3/10/15 0:00,2/10/16 0:00,Skoda Octavia,YE59UBW,MAROON,Premier Licensed Private Hire
1209,Private Hire Vehicle,Licence Issued,30/09/15 0:00,29/09/16 0:00,Toyota Auris,RK12PXH,WHITE,Amber Cars
1211,Private Hire Vehicle,Licence Issued,25/01/15 0:00,24/01/16 0:00,Vauxhall Vectra,ML08YPK,SILVER,New Armley Cars
1212,Private Hire Vehicle,Licence Issued,11/05/15 0:00,10/05/16 0:00,Skoda Octavia,RF57SXW,Beige,Star Supreme Line
1213,Private Hire Vehicle,Licence Issued,8/04/15 0:00,7/04/16 0:00,Toyota Auris,EF12EFL,White,UBER
1214,Private Hire Vehicle,Licence Issued,31/10/15 0:00,30/10/16 0:00,Skoda Rapid,AP63GRX,WHITE,Ace Cars Leeds Ltd
1215,Private Hire Vehicle,Licence Issued,19/12/14 0:00,18/12/15 0:00,Vauxhall Insignia,NV10VCA,BLUE,UBER
1216,Private Hire Vehicle,Licence Suspended,12/11/15 0:00,11/11/16 0:00,Skoda Octavia,FY12OMS,BLACK,Amber Cars
1217,Private Hire Vehicle,Licence Issued,8/10/15 0:00,7/10/16 0:00,Volkswagen Jetta,YF09WFW,BLUE,Wheels
1218,Private Hire Vehicle,Licence Issued,15/05/15 0:00,14/05/16 0:00,Toyota Avensis,KU10RFF,BLACK,Arrow
1219,Private Hire Vehicle,Licence Issued,8/05/15 0:00,7/05/16 0:00,Citroen Berlingo,SL13BNO,BLACK,Wheels
1220,Private Hire Vehicle,Licence Issued,29/09/15 0:00,28/09/16 0:00,Toyota Prius,ND59WUU,GREY,Kirkstall Cars
1221,Private Hire Vehicle,Licence Issued,12/08/15 0:00,11/08/16 0:00,Skoda Octavia,NU62DVW`,SILVER,UBER
1222,Private Hire Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Skoda Octavia,YM06CXR,SILVER,T Line
1223,Private Hire Vehicle,Licence Issued,17/05/15 0:00,16/05/16 0:00,Vauxhall Astra,FL58UAU,BLACK,1st Apollo / A Metro Cars
1224,Private Hire Vehicle,Licence Issued,28/10/15 0:00,27/10/16 0:00,Volkswagen Jetta,G12EBS,Black,Local Cars (Morley)
1225,Private Hire Vehicle,Licence Issued,18/10/15 0:00,17/10/16 0:00,Volkswagen Passat,GL10ECF,BLACK,SJK Travel2Airport.com
1226,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Fiat Doblo Automot Grp,NK59AUN,SILVER,Morley Central Line
1227,Private Hire Vehicle,Licence Issued,30/01/15 0:00,29/01/16 0:00,Toyota Auris,WF10JFX,SILVER,Kirkstall Cars
1228,Private Hire Vehicle,Licence Issued,27/09/15 0:00,26/09/16 0:00,Skoda Octavia,FT62KHU,BLACK,UBER
1229,Private Hire Vehicle,Licence Issued,1/04/15 0:00,31/03/16 0:00,Skoda Octavia,YH08WNZ,GREY,UBER
1230,Private Hire Vehicle,Licence Issued,16/01/15 0:00,15/01/16 0:00,Toyota Avensis,FV61FND,BLACK,Geo Cars 3 (HQ)
1231,Private Hire Vehicle,Licence Issued,4/06/15 0:00,3/06/16 0:00,Seat Exeo,SD60DLF,BLACK,Amber Cars
1232,Private Hire Vehicle,Licence Issued,17/12/14 0:00,16/12/15 0:00,Skoda Octavia,YD11HHR,BLACK,UBER
1233,Private Hire Vehicle,Licence Issued,29/04/15 0:00,28/04/16 0:00,Ford Mondeo,DG61CZW,SILVER,Amber Cars
1234,Private Hire Vehicle,Licence Issued,22/07/15 0:00,21/07/16 0:00,Citroen Berlingo MSP,YB11KGF,GREY,Wheels
1235,Private Hire Vehicle,Licence Issued,22/05/15 0:00,21/05/16 0:00,Toyota Avensis,YG11VDM,GREY,ITS Roadrunners
1236,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Skoda Octavia,YD58BFY,BEIGE,Royal Cars/New Royal Cars
1237,Private Hire Vehicle,Licence Issued,19/07/15 0:00,18/07/16 0:00,Toyota Avensis,EJ10LBP,Blue,Stanningley Cars Ltd
1238,Private Hire Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Skoda Octavia,SE08UJB,BLACK,Speed Line
1239,Private Hire Vehicle,Licence Issued,8/06/15 0:00,7/06/16 0:00,Toyota Auris,OO04YAT,BLACK,Amber Cars
1240,Private Hire Vehicle,Licence Issued,31/07/15 0:00,30/07/16 0:00,Volkswagen Passat,MT12NVF,BLACK,Arrow
1241,Private Hire Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Skoda Octavia,AF57VHL,BLACK,Royal Cars/New Royal Cars
1242,Private Hire Vehicle,Licence Issued,31/10/15 0:00,30/10/16 0:00,Skoda Octavia,FV61CKU,GREY,Wheels
1243,Private Hire Vehicle,Licence Suspended,6/03/15 0:00,5/03/16 0:00,Ford Mondeo,ND10WTG,SILVER,Arrow
1244,Private Hire Vehicle,Licence Issued,27/04/15 0:00,26/04/16 0:00,Volkswagen Passat,FE09EBP,Black,Kirkstall Cars
1245,Private Hire Vehicle,Licence Issued,14/05/15 0:00,13/05/16 0:00,Toyota Avensis,YC11FLE,BLACK,Time Line
1246,Private Hire Vehicle,Licence Issued,13/05/15 0:00,12/05/16 0:00,Skoda Rapid,YK15XAH,WHITE,Club Cars
1247,Private Hire Vehicle,Licence Issued,28/10/15 0:00,27/10/16 0:00,Volkswagen Jetta,OY12LFV,SILVER,UBER
1248,Private Hire Vehicle,Licence Issued,22/05/15 0:00,21/05/16 0:00,Audi A4,BG11EDU,WHITE,SJK Travel2Airport.com
1249,Private Hire Vehicle,Licence Issued,15/06/15 0:00,14/06/16 0:00,Vauxhall Vectra,DY58GCZ,BLACK,Pudsey B Line
1250,Private Hire Vehicle,Licence Issued,30/06/15 0:00,29/06/16 0:00,Skoda Superb,DE10ULA,GREY,Amber Cars
1251,Private Hire Vehicle,Licence Issued,18/10/15 0:00,17/10/16 0:00,Skoda Octavia,AG09FNH,BLUE,Ace Cars Leeds Ltd
1252,Private Hire Vehicle,Licence Issued,12/09/15 0:00,11/09/16 0:00,Skoda Octavia,24YAN,BLUE,Amber Cars
