Licence number,Licence Type,Status,Date licence issued,Date licence expires,Vehicle Type,Vehicle Registration Number,Vehicle Colour,Operator/Association
106,Hackney Carriage Vehicle,Licence Issued,2/10/15 0:00,1/10/16 0:00,Vauxhall Vectra,AB08NHH,BLACK/WHITE,Independent Hackney Carriage
107,Hackney Carriage Vehicle,Licence Issued,9/09/15 0:00,8/09/16 0:00,Toyota Avensis,MT61OVL,B/W,City Cabs
108,Hackney Carriage Vehicle,Licence Issued,15/06/15 0:00,14/06/16 0:00,Honda Accord,M77GUL,B/W,Independent Hackney Carriage
109,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Toyota Avensis,PE08SXD,B/W,Independent Hackney Carriage
11,Hackney Carriage Vehicle,Licence Issued,10/07/15 0:00,9/07/16 0:00,Skoda Octavia,ND10NXG,Black/White,Streamline/Telecabs
110,Hackney Carriage Vehicle,Licence Issued,29/06/15 0:00,28/06/16 0:00,Toyota Avensis,FE64TSX,,Streamline/Telecabs
111,Hackney Carriage Vehicle,Licence Issued,2/10/15 0:00,1/10/16 0:00,Toyota Avensis,FP09VHR,B&W,Independent Hackney Carriage
112,Hackney Carriage Vehicle,Licence Issued,8/06/15 0:00,7/06/16 0:00,Honda Accord,SJ60WXY,BLUE,City Cabs
113,Hackney Carriage Vehicle,Licence Issued,1/06/15 0:00,31/05/16 0:00,Skoda Octavia,AE56ECN,B & W,Streamline/Telecabs
114,Hackney Carriage Vehicle,Licence Issued,1/12/15 0:00,30/11/16 0:00,Vauxhall Vectra,M111BUB,BLACK/WHITE,Independent
115,Hackney Carriage Vehicle,Licence Issued,16/03/15 0:00,15/03/16 0:00,Vauxhall Vectra,MA57OKU,BLACK/WHITE,Streamline/Telecabs
116,Hackney Carriage Vehicle,Licence Issued,17/09/15 0:00,16/09/16 0:00,Vauxhall Insignia,YC11PSX,B/W,Independent Hackney Carriage
117,Hackney Carriage Vehicle,Licence Issued,26/03/15 0:00,25/03/16 0:00,Toyota Avensis,LM59ZYG,BLACK/WHITE,City Cabs
118,Hackney Carriage Vehicle,Licence Issued,28/07/15 0:00,27/07/16 0:00,Skoda Superb,FR13WVY,B/W,Streamline/Telecabs
119,Hackney Carriage Vehicle,Licence Issued,12/03/15 0:00,11/03/16 0:00,Honda Accord,USM9N,BLACK/WHITE,City Cabs
12,Hackney Carriage Vehicle,Licence Issued,5/07/15 0:00,4/07/16 0:00,Skoda Octavia,FY62VJE,Black/White,Streamline/Telecabs
120,Hackney Carriage Vehicle,Licence Issued,25/06/15 0:00,24/06/16 0:00,Volkswagen Jetta,YS10VCX,B/W,Streamline/Telecabs
121,Hackney Carriage Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Volkswagen Passat,WG57RGO,B/W,Independent Hackney Carriage
122,Hackney Carriage Vehicle,Licence Issued,1/10/15 0:00,30/09/16 0:00,Skoda Octavia,YG56BHZ,BLACK/WHITE,City Cabs
123,Hackney Carriage Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Skoda Octavia,YB11DFZ,Black/White,Streamline/Telecabs
124,Hackney Carriage Vehicle,Licence Issued,31/07/15 0:00,30/07/16 0:00,Honda Accord,DK60YZE,B&W,Eurocabs
125,Hackney Carriage Vehicle,Licence Issued,19/07/15 0:00,18/07/16 0:00,Volkswagen Passat,SK59GAO,B/W,Streamline/Telecabs
126,Hackney Carriage Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Skoda Octavia,RA06HGE,B& W,Eurocabs
127,Hackney Carriage Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,YE56ZVT,B&W,City Cabs
128,Hackney Carriage Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Skoda Octavia,VE07WYY,B/W,Streamline/Telecabs
129,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Honda Accord,W44HEB,B/W,Streamline/Telecabs
13,Hackney Carriage Vehicle,Licence Issued,8/05/15 0:00,7/05/16 0:00,Honda Accord,V13NAD,B & W,Independent Hackney Carriage
130,Hackney Carriage Vehicle,Licence Issued,2/11/15 0:00,1/11/16 0:00,Skoda Octavia,YR08TWU,B/W,Independent City Taxis
