status,id,name,address,latitude,longitude,region1,type_id,type_name,notes,product1,product2,product3,service1,service2,service3,service4,service5,region2,region3
Published,558,7-Eleven Kensington Hills,"1 Sovereign Avenue, Bray Park (Moreton Bay Regional), Northern",-27.2971,152.975,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,105,7-Eleven Kingston,"Kingston Road, corner Wanda Street, Kingston",-27.6449,153.118,South East Queensland,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,South East Queensland,
Draft,1626,7-Eleven Kingston South,"2 Juers Street, Kingston, Queensland, Australia",-27.660196,153.11775,South East Queensland,1,Standard retailer,,,,,,,,,,South East Queensland,
Published,106,7-Eleven Kirra,"Kirra Beach Plaza, Musgrave Road, corner Douglas Road, Kirra, Gold Coast",-28.1678,153.528,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,107,7-Eleven Labrador,"78-84 Frank Street, Labrador, Gold Coast",-27.9487,153.408,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,108,7-Eleven Logan City,"120 Wembley Road, Logan City, Southern",-27.6413,153.107,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,109,7-Eleven Lutwyche,"446 Lutwyche Road, Lutwyche, Brisbane North",-27.4247,153.033,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1316,7-Eleven Lytton Road,"887 Lytton Road, Murarrie, Queensland, Australia",-27.456767,153.105673,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,110,7-Eleven Mackenzie,"902 Mt Gravatt-Capalaba Road, Mackenzie (Brisbane City), Eastern",-27.5459,153.123,Eastern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,866,7-Eleven Main Beach,"3568 Main Beach Parade, Main Beach, Queensland, Australia",-27.979743,153.42891,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,113,7-Eleven Manly West,"459 Manly Road, Manly West, Eastern",-27.4755,153.166,Eastern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,114,7-Eleven Marcoola,"946-948 David Low Way, Marcoola, Sunshine Coast",-26.6007,153.096,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,115,7-Eleven Maroochydore,"Aerodrome Road, corner Wirraway Street, Maroochydore, Sunshine Coast",-26.6624,153.105,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,117,7-Eleven Maroochydore North,"53 Aerodrome Road, Maroochydore, Sunshine Coast",-26.6605,153.1,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1296,7-Eleven Marsden,"Tamarind Street, Marsden, Queensland, Australia",-27.680633,153.11473,,1,Standard retailer,,,,,,,,,,Brisbane,
